"","H1","H2","H3","H4","H5","H6","H7","H8","graph","seed","case"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",1,"n = 100"
"2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",1,"n = 100"
"3",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",1,"n = 100"
"4",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",1,"n = 100"
"5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",1,"n = 100"
"6",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",1,"n = 100"
"7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",1,"n = 100"
"8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",1,"n = 100"
"9",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",2,"n = 100"
"10",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"fixedSequence",2,"n = 100"
"11",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"BonHolm",2,"n = 100"
"12",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Fallback",2,"n = 100"
"13",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",2,"n = 100"
"14",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",2,"n = 100"
"15",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.FS",2,"n = 100"
"16",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",2,"n = 100"
"17",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonferroni",3,"n = 100"
"18",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",3,"n = 100"
"19",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"BonHolm",3,"n = 100"
"20",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",3,"n = 100"
"21",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",3,"n = 100"
"22",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",3,"n = 100"
"23",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.FS",3,"n = 100"
"24",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.SA",3,"n = 100"
"25",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",4,"n = 100"
"26",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",4,"n = 100"
"27",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",4,"n = 100"
"28",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",4,"n = 100"
"29",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",4,"n = 100"
"30",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",4,"n = 100"
"31",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.FS",4,"n = 100"
"32",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",4,"n = 100"
"33",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",5,"n = 100"
"34",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",5,"n = 100"
"35",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",5,"n = 100"
"36",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",5,"n = 100"
"37",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",5,"n = 100"
"38",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",5,"n = 100"
"39",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",5,"n = 100"
"40",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",5,"n = 100"
"41",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",6,"n = 100"
"42",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",6,"n = 100"
"43",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",6,"n = 100"
"44",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",6,"n = 100"
"45",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",6,"n = 100"
"46",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",6,"n = 100"
"47",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",6,"n = 100"
"48",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",6,"n = 100"
"49",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",7,"n = 100"
"50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"fixedSequence",7,"n = 100"
"51",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",7,"n = 100"
"52",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fallback",7,"n = 100"
"53",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",7,"n = 100"
"54",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",7,"n = 100"
"55",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",7,"n = 100"
"56",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",7,"n = 100"
"57",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",8,"n = 100"
"58",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",8,"n = 100"
"59",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",8,"n = 100"
"60",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Fallback",8,"n = 100"
"61",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",8,"n = 100"
"62",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",8,"n = 100"
"63",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",8,"n = 100"
"64",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",8,"n = 100"
"65",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Bonferroni",9,"n = 100"
"66",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"fixedSequence",9,"n = 100"
"67",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"BonHolm",9,"n = 100"
"68",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",9,"n = 100"
"69",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",9,"n = 100"
"70",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",9,"n = 100"
"71",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.FS",9,"n = 100"
"72",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"MesoPhoto.SA",9,"n = 100"
"73",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bonferroni",10,"n = 100"
"74",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",10,"n = 100"
"75",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"BonHolm",10,"n = 100"
"76",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",10,"n = 100"
"77",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",10,"n = 100"
"78",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",10,"n = 100"
"79",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.FS",10,"n = 100"
"80",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.SA",10,"n = 100"
"81",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Bonferroni",11,"n = 100"
"82",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"fixedSequence",11,"n = 100"
"83",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"BonHolm",11,"n = 100"
"84",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Fallback",11,"n = 100"
"85",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",11,"n = 100"
"86",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"coPrimary.2",11,"n = 100"
"87",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.FS",11,"n = 100"
"88",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"MesoPhoto.SA",11,"n = 100"
"89",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonferroni",12,"n = 100"
"90",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",12,"n = 100"
"91",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"BonHolm",12,"n = 100"
"92",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",12,"n = 100"
"93",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",12,"n = 100"
"94",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",12,"n = 100"
"95",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",12,"n = 100"
"96",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"MesoPhoto.SA",12,"n = 100"
"97",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bonferroni",13,"n = 100"
"98",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",13,"n = 100"
"99",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"BonHolm",13,"n = 100"
"100",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",13,"n = 100"
"101",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"coPrimary.1",13,"n = 100"
"102",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"coPrimary.2",13,"n = 100"
"103",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.FS",13,"n = 100"
"104",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MesoPhoto.SA",13,"n = 100"
"105",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonferroni",14,"n = 100"
"106",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",14,"n = 100"
"107",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"BonHolm",14,"n = 100"
